component,instrument,sub,rows,valid,first_ist,last_ist,bars,bars15,bars1h,bars_compared,mismatches,strategy,fill_id,bar_ist,bar_tf,side,qty,kind,reason,entry P&L-input(driver),price_saved,price_model,orders,fills,closed_trades,open_positions,entry_price,exit_price,multiplier,exit_reason,gross_expected,gross_saved,charges_expected,charges_saved,net_expected,net_saved,acct_realized,sum_own_nets,entry_day,exit_day,nights
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,161450.0,161840.0,10.0,stop_loss_hit,-3900.0,-3900.0,311.65,311.65,-4211.65,-4211.65,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,SHORT,1.0,,,,,,,,,,161449.0,161771.0,10.0,stop_loss_hit,-3220.0,-3220.0,311.63,311.63,-3531.63,-3531.63,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,161437.0,161450.0,10.0,long_reversal,-130.0,-130.0,311.51,311.51,-441.51,-441.51,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,LONG,1.0,,,,,,,,,,161490.0,161076.0,10.0,stop_loss_hit,-4140.0,-4140.0,311.05,311.05,-4451.05,-4451.05,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,161451.0,161169.0,10.0,stop_loss_hit,-2820.0,-2820.0,311.16,311.16,-3131.16,-3131.16,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,158664.0,157430.0,10.0,stop_loss_hit,-12340.0,-12340.0,305.34,305.34,-12645.34,-12645.34,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,158451.0,158102.0,10.0,short_reversal,-3490.0,-3490.0,306.16,306.16,-3796.16,-3796.16,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,LONG,1.0,,,,,,,,,,158664.0,158167.0,10.0,short_reversal,-4970.0,-4970.0,306.31,306.31,-5276.31,-5276.31,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,158123.0,158332.0,10.0,stop_loss_hit,-2090.0,-2090.0,306.15,306.15,-2396.15,-2396.15,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,SHORT,1.0,,,,,,,,,,158074.0,158305.0,10.0,long_reversal,-2310.0,-2310.0,306.07,306.07,-2616.07,-2616.07,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,SHORT,1.0,,,,,,,,,,158074.0,158305.0,10.0,long_reversal,-2310.0,-2310.0,306.07,306.07,-2616.07,-2616.07,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_02,,,,LONG,1.0,,,,,,,,,,158400.0,158342.0,10.0,short_reversal,-580.0,-580.0,306.46,306.46,-886.46,-886.46,,,,,
pnl/trade,GOLDM,,,PASS,,,,,,,,gold_01,,,,LONG,1.0,,,,,,,,,,158400.0,158342.0,10.0,short_reversal,-580.0,-580.0,306.46,306.46,-886.46,-886.46,,,,,
pnl/account,GOLDM,,,PASS,,,,,,,,gold_01,,,,,,,,,,,,,,,,,,,,,,,,,-44578.69,-44578.69,,,
pnl/account,GOLDM,,,PASS,,,,,,,,gold_02,,,,,,,,,,,,,,,,,,,,,,,,,-21446.69,-21446.69,,,
carry/no-eod,GOLDM,,,PASS,,,,,,,,gold_01,,,,,,,,,,,,,,,162340.0,162426.0,,long_reversal,,,,,,,,,2026-08-24,2026-08-25,1.0
carry/no-eod,GOLDM,,,PASS,,,,,,,,gold_02,,,,,,,,,,,,,,,162300.0,162452.0,,long_reversal,,,,,,,,,2026-08-24,2026-08-25,1.0
carry/no-eod,GOLDM,,,PASS,,,,,,,,gold_02,,,,,,,,,,,,,,,161449.0,161771.0,,stop_loss_hit,,,,,,,,,2026-08-25,2026-08-26,1.0
input/raw,SILVERM,CSV-5m,870.0,PASS,2026-08-24 09:00,2026-08-28 23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars/5m,SILVERM,agg==first/max/min/last,,PASS,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bars/15m+1h,SILVERM,agg of lower-TF members,,PASS,,,,290.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicator+map,SILVERM,per-bar engine vs independent DEMAATR+searchsorted,,PASS,,,,,,1150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,8fc90c76,08-24 10:05,5m,SELL,1.0,entry,,entry,254150.0,254150.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,ebd47127,08-24 10:45,5m,BUY,1.0,exit,stop_loss_hit,exit,254903.0,254903.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,9f4aee7a,08-24 11:00,5m,SELL,1.0,entry,,entry,254500.0,254500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,829f9396,08-24 11:35,5m,BUY,1.0,exit,stop_loss_hit,exit,255000.0,255000.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,306eff80,08-24 13:45,5m,SELL,1.0,entry,,entry,254451.0,254451.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,9b7bb37d,08-24 16:00,5m,BUY,1.0,exit,stop_loss_hit,exit,255147.0,255147.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,75ca5838,08-24 19:15,5m,SELL,1.0,entry,,entry,255397.0,255397.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,fa913f60,08-25 12:00,5m,BUY,1.0,exit,long_reversal,exit,253001.0,253001.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,3984de0a,08-25 12:00,5m,BUY,1.0,entry,,entry,253333.0,253333.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,61b5527f,08-25 12:55,5m,SELL,1.0,exit,stop_loss_hit,exit,252123.0,252123.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,f579fccb,08-25 20:50,5m,BUY,1.0,entry,,entry,251897.0,251897.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,5956ff54,08-26 12:00,5m,SELL,1.0,exit,short_reversal,exit,253167.0,253167.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,21ace4c9,08-26 12:00,5m,SELL,1.0,entry,stop_loss_hit,entry,253025.0,253025.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,3894f337,08-26 12:00,5m,BUY,1.0,exit,stop_loss_hit,exit,253600.0,253600.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,c2d22e52,08-26 13:25,5m,SELL,1.0,entry,,entry,253201.0,253201.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,e5ad2b5a,08-26 18:00,5m,BUY,1.0,exit,long_reversal,exit,253500.0,253500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,a5b565c1,08-26 18:00,5m,BUY,1.0,entry,stop_loss_hit,entry,253500.0,253500.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,ca9d8ef9,08-26 18:00,5m,SELL,1.0,exit,stop_loss_hit,exit,253083.0,253083.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,fe30a9a1,08-27 10:25,5m,BUY,1.0,entry,,entry,249522.0,249522.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,4e9e2cf6,08-27 18:15,5m,SELL,1.0,exit,stop_loss_hit,exit,247229.0,247229.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,5178aaf2,08-27 21:20,5m,BUY,1.0,entry,,entry,249750.0,249750.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,ffddd632,08-28 09:00,5m,SELL,1.0,exit,stop_loss_hit,exit,248263.0,248263.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,6c581e69,08-28 09:10,5m,SELL,1.0,entry,,entry,247855.0,247855.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,3aaa113e,08-28 12:00,5m,BUY,1.0,exit,long_reversal,exit,249267.0,249267.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,fa11965e,08-28 12:00,5m,BUY,1.0,entry,,entry,249371.0,249371.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,414df869,08-28 19:35,5m,SELL,1.0,exit,short_reversal,exit,251798.0,251798.0,,,,,,,,,,,,,,,,,,,
order->fill,SILVERM,,,PASS,,,,,,,,silver_02,3bc2c206,08-28 19:35,5m,SELL,1.0,entry,,entry,251650.0,251650.0,,,,,,,,,,,,,,,,,,,
