instrument,strategy,fast_tf,bar_start_ist,crossing_side,result,engine,reference
GOLDM,gold_01,5m,2026-08-28 12:25:00,LONG,MATCH,pC=158118.0|pH=158194.90474363664|h=158194.90474363664|pM=157606.22423901234|m=157816.45569072352|f=158073.2966691582,pC=158118.0|pH=158194.90474363664|h=158194.90474363664|pM=157606.22423901234|m=157816.45569072352|f=158073.2966691582
GOLDM,gold_01,5m,2026-08-28 19:40:00,SHORT,MATCH,pC=158702.0|pH=158511.63203136946|h=158511.63203136946|pM=158983.15695527085|m=158983.15695527085|f=158847.19734284957,pC=158702.0|pH=158511.63203136946|h=158511.63203136946|pM=158983.15695527085|m=158983.15695527085|f=158847.19734284957
GOLDM,gold_02,15m,2026-08-24 10:30:00,LONG,MATCH,pC=161915.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=161847.0,pC=161915.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=161847.0
GOLDM,gold_02,15m,2026-08-24 11:15:00,LONG,MATCH,pC=161886.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=161847.0,pC=161886.0|pH=161935.0|h=161935.0|pM=161847.0|m=161847.0|f=161847.0
GOLDM,gold_02,15m,2026-08-24 13:45:00,SHORT,MATCH,pC=162012.0|pH=161935.0|h=161935.0|pM=162082.4197921992|m=162082.4197921992|f=162082.4197921992,pC=162012.0|pH=161935.0|h=161935.0|pM=162082.4197921992|m=162082.4197921992|f=162082.4197921992
GOLDM,gold_02,15m,2026-08-24 21:15:00,SHORT,MATCH,pC=162928.0|pH=162663.50228925093|h=162663.50228925093|pM=162970.0395116458|m=162914.4932633848|f=162914.4932633848,pC=162928.0|pH=162663.50228925093|h=162663.50228925093|pM=162970.0395116458|m=162914.4932633848|f=162914.4932633848
GOLDM,gold_02,15m,2026-08-24 22:15:00,SHORT,MATCH,pC=162735.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162828.48420758682|f=162828.48420758682,pC=162735.0|pH=162663.50228925093|h=162663.50228925093|pM=162914.4932633848|m=162828.48420758682|f=162828.48420758682
GOLDM,gold_02,15m,2026-08-25 11:45:00,LONG,MATCH,pC=162350.0|pH=162394.12799929726|h=162394.12799929726|pM=161934.75579641448|m=162063.74144257078|f=162063.74144257078,pC=162350.0|pH=162394.12799929726|h=162394.12799929726|pM=161934.75579641448|m=162063.74144257078|f=162063.74144257078
GOLDM,gold_02,15m,2026-08-25 21:00:00,LONG,MATCH,pC=161650.0|pH=161684.22209637234|h=161684.22209637234|pM=161201.97823303455|m=161623.9034386776|f=161623.9034386776,pC=161650.0|pH=161684.22209637234|h=161684.22209637234|pM=161201.97823303455|m=161623.9034386776|f=161623.9034386776
GOLDM,gold_02,15m,2026-08-25 22:30:00,SHORT,MATCH,pC=161840.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161719.55538965508,pC=161840.0|pH=161684.22209637234|h=161684.22209637234|pM=161719.55538965508|m=161719.55538965508|f=161719.55538965508
GOLDM,gold_02,15m,2026-08-26 17:45:00,LONG,MATCH,pC=161310.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161199.4840269661|f=161199.4840269661,pC=161310.0|pH=161384.68318243927|h=161384.68318243927|pM=161103.64474380476|m=161199.4840269661|f=161199.4840269661
GOLDM,gold_02,15m,2026-08-27 09:00:00,LONG,MATCH,pC=158070.0|pH=160006.9044205929|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158745.08767842234,pC=158070.0|pH=160006.9044205929|h=159082.9924359771|pM=158745.08767842234|m=158745.08767842234|f=158745.08767842234
GOLDM,gold_02,15m,2026-08-27 10:15:00,LONG,MATCH,pC=156829.0|pH=158468.9559012342|h=158468.9559012342|pM=157934.08099412167|m=157934.08099412167|f=157934.08099412167,pC=156829.0|pH=158468.9559012342|h=158468.9559012342|pM=157934.08099412167|m=157934.08099412167|f=157934.08099412167
GOLDM,gold_02,15m,2026-08-27 21:00:00,LONG,MATCH,pC=157462.0|pH=158194.90474363664|h=158194.90474363664|pM=157501.46208766557|m=157642.78667324147|f=157642.78667324147,pC=157462.0|pH=158194.90474363664|h=158194.90474363664|pM=157501.46208766557|m=157642.78667324147|f=157642.78667324147
GOLDM,gold_02,15m,2026-08-27 22:45:00,SHORT,MATCH,pC=158266.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158254.2775775401,pC=158266.0|pH=158194.90474363664|h=158194.90474363664|pM=158254.2775775401|m=158254.2775775401|f=158254.2775775401
