instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
GOLDM,2026-08-27 16:30,157455.0,157532.0,157280.0,157508.0,157678.71817725667,158548.83126915683,158702.7938332961,157678.71817725667,158548.83126915683,158548.83126915683,157508.0,205,157455.0,flat,,,,,[]
SILVERM,2026-08-27 16:30,248442.0,248449.0,248079.0,248300.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248300.0,205,248500.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 16:45,157509.0,157550.0,157380.0,157444.0,157678.71817725667,158394.777497884,158548.83126915683,157678.71817725667,158548.83126915683,158394.777497884,157444.0,206,157508.0,flat,,,,,[]
SILVERM,2026-08-27 16:45,248397.0,248417.0,248200.0,248357.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248357.0,206,248300.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 17:00,157476.0,158024.0,157400.0,157813.0,157678.71817725667,158394.777497884,158548.83126915683,157678.71817725667,158394.777497884,158394.777497884,157813.0,207,157444.0,flat,,,,,[]
SILVERM,2026-08-27 17:00,248393.0,248897.0,248393.0,248625.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248625.0,207,248357.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 17:15,157788.0,157788.0,157520.0,157639.0,157678.71817725667,158394.777497884,158548.83126915683,157678.71817725667,158394.777497884,158394.777497884,157639.0,208,157813.0,flat,,,,,[]
SILVERM,2026-08-27 17:15,248607.0,248613.0,248100.0,248299.0,248638.24385400862,249411.2611200852,249411.2611200852,248638.24385400862,249411.2611200852,249411.2611200852,248299.0,208,248625.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 17:30,157641.0,157749.0,157244.0,157297.0,157678.71817725667,158394.777497884,158548.83126915683,157678.71817725667,158394.777497884,158394.777497884,157297.0,209,157639.0,flat,,,,,[]
SILVERM,2026-08-27 17:30,248292.0,248340.0,248009.0,248071.0,248637.4108054736,249411.2611200852,249411.2611200852,248637.4108054736,249411.2611200852,249411.2611200852,248071.0,209,248299.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 17:45,157293.0,157600.0,157257.0,157516.0,157678.71817725667,158394.777497884,158394.777497884,157678.71817725667,158394.777497884,158394.777497884,157516.0,210,157297.0,flat,,,,,[]
SILVERM,2026-08-27 17:45,248068.0,248600.0,248008.0,248254.0,248637.4108054736,249411.2611200852,249411.2611200852,248637.4108054736,249411.2611200852,249411.2611200852,248254.0,210,248071.0,long_position,LONG,,,246300.0,[]
